LO	RF		ideal
6.8	-4.52109	-0.31872
6.9	-4.50907	-0.22051
7	-4.4975		-0.1223
7.1	-4.48633	-0.02409
7.2	-4.47556	0.07412
7.3	-4.46519	0.17233
7.4	-4.45516	0.27054
7.5	-4.44553	0.36875
7.6	-4.43621	0.46696
7.7	-4.42723	0.56517
7.8	-4.41854	0.66338
7.9	-4.41021	0.76159
8	-4.40214	0.8598
8.1	-4.39433	0.95801
8.2	-4.38678	1.05622
8.3	-4.37949	1.15443
8.4	-4.37244	1.25264
8.5	-4.36561	1.35085
8.6	-4.359		1.44906
8.7	-4.3526		1.54727
8.8	-4.3464		1.64548
8.9	-4.3404		1.74369
9	-4.33453	1.8419
9.1	-4.32892	1.94011
9.2	-4.32344	2.03832
9.3	-4.31812	2.13653
9.4	-4.31284	2.23474
9.5	-4.30794	2.33295
9.6	-4.30308	2.43116
9.7	-4.29834	2.52937
9.8	-4.29374	2.62758
9.9	-4.28927	2.72579
10	-4.28492	2.824
10.1	-4.28069	2.92221
10.2	-4.27657	3.02042
10.3	-4.27257	3.11863
10.4	-4.26867	3.21684
10.5	-4.26487	3.31505
10.6	-4.26117	3.41326
10.7	-4.25756	3.51147
10.8	-4.25405	3.60968
10.9	-4.25062	3.70789
11	-4.24728	3.8061
11.1	-4.24402	3.90431
11.2	-4.24084	4.00252
11.3	-4.23774	4.10073
11.4	-4.23471	4.19894
11.5	-4.23175	4.29715
11.6	-4.22887	4.39536
11.7	-4.22604	4.49357
11.8	-4.2233		4.59178
11.9	-4.22059	4.68999
12	-4.21796	4.7882
12.1	-4.21538	4.88641
12.2	-4.21286	4.98462
12.3	-4.2104		5.08283
12.4	-4.20798	5.18104
12.5	-4.20562	5.27925
12.6	-4.20331	5.37746
12.7	-4.20104	5.47567
12.8	-4.19883	5.57388
12.9	-4.19665	5.67209
13	-4.19452	5.7703
13.1	-4.19243	5.86851
13.2	-4.19038	5.96672
13.3	-4.18837	6.06493
13.4	-4.1864		6.16314
13.5	-4.18446	6.26135
13.6	-4.18256	6.35956
13.7	-4.18069	6.45777
13.8	-4.17886	6.55598
13.9	-4.17706	6.65419
14	-4.17529	6.7524
14.1	-4.17355	6.85061
14.2	-4.17184	6.94882
14.3	-4.17016	7.04703
14.4	-4.16851	7.14524
14.5	-4.16688	7.24345
14.6	-4.16528	7.34166
14.7	-4.16371	7.43987
14.8	-4.16215	7.53808
14.9	-4.16062	7.63629
15	-4.15911	7.7345
15.1	-4.15763	7.83271
15.2	-4.15617	7.93092
15.3	-4.15473	8.02913
15.4	-4.15331	8.12734
15.5	-4.1519		8.22555
15.6	-4.15052	8.32376
15.7	-4.14916	8.42197
15.8	-4.14781	8.52018
15.9	-4.14648	8.61839
16	-4.14517	8.7166
16.1	-4.14387	8.81481
16.2	-4.14258	8.91302
16.3	-4.14132	9.01123
16.4	-4.14006	9.10944
16.5	-4.13883	9.20765
16.6	-4.1376		9.30586
16.7	-4.13639	9.40407
16.8	-4.13519	9.50228
16.9	-4.13401	9.60049
17	-4.13283	9.6987
17.1	-4.13167	9.79691
17.2	-4.13052	9.89512
17.3	-4.12938	9.99333
17.4	-4.12825	10.09154
17.5	-4.12713	10.18975
17.6	-4.12602	10.28796
17.7	-4.12492	10.38617
17.8	-4.12383	10.48438
17.9	-4.12275	10.58259
18	-4.12167	10.6808
18.1	-4.12061	10.77901
18.2	-4.11955	10.87722
18.3	-4.1185		10.97543
18.4	-4.11746	11.07364
18.5	-4.11643	11.17185
18.6	-4.1154		11.27006
18.7	-4.11438	11.36827
18.8	-4.11337	11.46648
18.9	-4.11236	11.56469
19	-4.11136	11.6629
19.1	-4.11036	11.76111
19.2	-4.10937	11.85932
19.3	-4.10838	11.95753
19.4	-4.1074		12.05574
19.5	-4.10643	12.15395
19.6	-4.10545	12.25216
19.7	-4.10449	12.35037
19.8	-4.10352	12.44858
19.9	-4.10257	12.54679
20	-4.10161	12.6445
