LO	RF		ideal
-5	-11.9083	-11.9075
-4.9	-11.8009	-11.80929
-4.8	-11.6936	-11.71108
-4.7	-11.5864	-11.61287
-4.6	-11.4794	-11.51466
-4.5	-11.3726	-11.41645
-4.4	-11.2659	-11.31824
-4.3	-11.1595	-11.22003
-4.2	-11.0533	-11.12182
-4.1	-10.9474	-11.02361
-4	-10.8418	-10.9254
-3.9	-10.7365	-10.82719
-3.8	-10.6315	-10.72898
-3.7	-10.5269	-10.63077
-3.6	-10.422		-10.53256
-3.5	-10.3179	-10.43435
-3.4	-10.2143	-10.33614
-3.3	-10.111		-10.23793
-3.2	-10.0082	-10.13972
-3.1	-9.90581	-10.04151
-3	-9.80388	-9.9433
-2.9	-9.70243	-9.84509
-2.8	-9.60145	-9.74688
-2.7	-9.50097	-9.64867
-2.6	-9.40099	-9.55046
-2.5	-9.30152	-9.45225
-2.4	-9.20256	-9.35404
-2.3	-9.10412	-9.25583
-2.2	-9.0062		-9.15762
-2.1	-8.90881	-9.05941
-2	-8.81193	-8.9612
-1.9	-8.71559	-8.86299
-1.8	-8.61976	-8.76478
-1.7	-8.52447	-8.66657
-1.6	-8.4297		-8.56836
-1.5	-8.33455	-8.47015
-1.4	-8.24067	-8.37194
-1.3	-8.14731	-8.27373
-1.2	-8.05449	-8.17552
-1.1	-7.96223	-8.07731
-1	-7.87054	-7.9791
-0.9	-7.77947	-7.88089
-0.8	-7.68905	-7.78268
-0.7	-7.59934	-7.68447
-0.6	-7.51038	-7.58626
-0.5	-7.42226	-7.48805
-0.4	-7.33505	-7.38984
-0.3	-7.24886	-7.29163
-0.2	-7.16378	-7.19342
-0.1	-7.07994	-7.09521
0	-6.99746	-6.997
0.1	-6.91647	-6.89879
0.2	-6.83707	-6.80058
0.3	-6.75939	-6.70237
0.4	-6.68352	-6.60416
0.5	-6.60954	-6.50595
0.6	-6.5367		-6.40774
0.7	-6.46645	-6.30953
0.8	-6.39815	-6.21132
0.9	-6.3318		-6.11311
1	-6.2674		-6.0149
1.1	-6.20491	-5.91669
1.2	-6.14433	-5.81848
1.3	-6.08564	-5.72027
1.4	-6.0288		-5.62206
1.5	-5.97382	-5.52385
1.6	-5.92066	-5.42564
1.7	-5.8693		-5.32743
1.8	-5.81968	-5.22922
1.9	-5.7717		-5.13101
2	-5.72549	-5.0328
2.1	-5.68091	-4.93459
2.2	-5.63788	-4.83638
2.3	-5.59642	-4.73817
2.4	-5.55635	-4.63996
2.5	-5.51764	-4.54175
2.6	-5.48021	-4.44354
2.7	-5.44399	-4.34533
2.8	-5.4089		-4.24712
2.9	-5.37486	-4.14891
3	-5.34181	-4.0507
3.1	-5.30968	-3.95249
3.2	-5.27842	-3.85428
3.3	-5.24797	-3.75607
3.4	-5.21828	-3.65786
3.5	-5.18905	-3.55965
3.6	-5.16062	-3.46144
3.7	-5.13289	-3.36323
3.8	-5.10574	-3.26502
3.9	-5.07918	-3.16681
4	-5.05304	-3.0686
4.1	-5.0274		-2.97039
4.2	-5.00244	-2.87218
4.3	-4.97792	-2.77397
4.4	-4.95381	-2.67576
4.5	-4.93025	-2.57755
4.6	-4.90694	-2.47934
4.7	-4.88441	-2.38113
4.8	-4.86228	-2.28292
4.9	-4.84058	-2.18471
5	-4.81936	-2.0865
5.1	-4.79861	-1.98829
5.2	-4.77839	-1.89008
5.3	-4.75861	-1.79187
5.4	-4.73931	-1.69366
5.5	-4.7205		-1.59545
5.6	-4.70218	-1.49724
5.7	-4.68437	-1.39903
5.8	-4.66706	-1.30082
5.9	-4.65025	-1.20261
6	-4.63395	-1.1044
6.1	-4.61813	-1.00619
6.2	-4.60281	-0.90798
6.3	-4.58799	-0.80977
6.4	-4.57365	-0.71156
6.5	-4.55981	-0.61335
6.6	-4.54643	-0.51514
6.7	-4.53368	-0.41693
