LO	RF		ideal
11.8	-8.91836	-7.736
11.9	-8.88634	-7.648
12	-8.85523	-7.56
12.1	-8.82496	-7.472
12.2	-8.79546	-7.384
12.3	-8.76676	-7.296
12.4	-8.73871	-7.208
12.5	-8.71124	-7.12
12.6	-8.68444	-7.032
12.7	-8.65815	-6.944
12.8	-8.63247	-6.856
12.9	-8.60724	-6.768
13	-8.58248	-6.68
13.1	-8.55817	-6.592
13.2	-8.53429	-6.504
13.3	-8.51083	-6.416
13.4	-8.48774	-6.328
13.5	-8.46506	-6.24
13.6	-8.44278	-6.152
13.7	-8.42087	-6.064
13.8	-8.39928	-5.976
13.9	-8.37813	-5.888
14	-8.3573		-5.8
14.1	-8.33683	-5.712
14.2	-8.31671	-5.624
14.3	-8.29696	-5.536
14.4	-8.27757	-5.448
14.5	-8.25854	-5.36
14.6	-8.23989	-5.272
14.7	-8.2216		-5.184
14.8	-8.20369	-5.096
14.9	-8.18617	-5.008
15	-8.16902	-4.92
15.1	-8.15228	-4.832
15.2	-8.13592	-4.744
15.3	-8.11995	-4.656
15.4	-8.10439	-4.568
15.5	-8.08921	-4.48
15.6	-8.07444	-4.392
15.7	-8.06005	-4.304
15.8	-8.04606	-4.216
15.9	-8.03245	-4.128
16	-8.01922	-4.04
16.1	-8.00637	-3.952
16.2	-7.99388	-3.864
16.3	-7.98176	-3.776
16.4	-7.96998	-3.688
16.5	-7.95855	-3.6
16.6	-7.94745	-3.512
16.7	-7.93668	-3.424
16.8	-7.92623	-3.336
16.9	-7.91609	-3.248
17	-7.90625	-3.16
17.1	-7.89671	-3.072
17.2	-7.88745	-2.984
17.3	-7.87847	-2.896
17.4	-7.86976	-2.808
17.5	-7.86131	-2.72
17.6	-7.85313	-2.632
17.7	-7.84519	-2.544
17.8	-7.83749	-2.456
17.9	-7.83004	-2.368
18	-7.82282	-2.28
18.1	-7.8158		-2.192
18.2	-7.809		-2.104
18.3	-7.80242	-2.016
18.4	-7.79603	-1.928
18.5	-7.78984	-1.84
18.6	-7.78383	-1.752
18.7	-7.77801	-1.664
18.8	-7.77235	-1.576
18.9	-7.76687	-1.488
19	-7.76154	-1.4
19.1	-7.75637	-1.312
19.2	-7.75134	-1.224
19.3	-7.74645	-1.136
19.4	-7.7417		-1.048
19.5	-7.73707	-0.96
19.6	-7.73257	-0.872
19.7	-7.72818	-0.784
19.8	-7.72391	-0.696
19.9	-7.71974	-0.608
20	-7.71567	-0.52
