LO	RF		ideal
0	-18.1249	-18.12
0.1	-18.0473	-18.032
0.2	-17.9695	-17.944
0.3	-17.8914	-17.856
0.4	-17.813		-17.768
0.5	-17.7344	-17.68
0.6	-17.6557	-17.592
0.7	-17.5768	-17.504
0.8	-17.4963	-17.416
0.9	-17.4165	-17.328
1	-17.3363	-17.24
1.1	-17.2559	-17.152
1.2	-17.1752	-17.064
1.3	-17.0942	-16.976
1.4	-17.0129	-16.888
1.5	-16.9315	-16.8
1.6	-16.8497	-16.712
1.7	-16.7678	-16.624
1.8	-16.6857	-16.536
1.9	-16.6035	-16.448
2	-16.5192	-16.36
2.1	-16.436		-16.272
2.2	-16.3525	-16.184
2.3	-16.2688	-16.096
2.4	-16.1848	-16.008
2.5	-16.1006	-15.92
2.6	-16.0162	-15.832
2.7	-15.9316	-15.744
2.8	-15.8468	-15.656
2.9	-15.7618	-15.568
3	-15.6767	-15.48
3.1	-15.5902	-15.392
3.2	-15.5043	-15.304
3.3	-15.4183	-15.216
3.4	-15.332		-15.128
3.5	-15.2455	-15.04
3.6	-15.1589	-14.952
3.7	-15.0721	-14.864
3.8	-14.9851	-14.776
3.9	-14.898		-14.688
4	-14.8107	-14.6
4.1	-14.7234	-14.512
4.2	-14.6348	-14.424
4.3	-14.5469	-14.336
4.4	-14.4588	-14.248
4.5	-14.3706	-14.16
4.6	-14.2822	-14.072
4.7	-14.1937	-13.984
4.8	-14.1051	-13.896
4.9	-14.0162	-13.808
5	-13.9277	-13.72
5.1	-13.8382	-13.632
5.2	-13.749		-13.544
5.3	-13.6598	-13.456
5.4	-13.5704	-13.368
5.5	-13.481		-13.28
5.6	-13.3914	-13.192
5.7	-13.3019	-13.104
5.8	-13.212		-13.016
5.9	-13.1222	-12.928
6	-13.0324	-12.84
6.1	-12.9425	-12.752
6.2	-12.8526	-12.664
6.3	-12.7626	-12.576
6.4	-12.6726	-12.488
6.5	-12.5827	-12.4
6.6	-12.4927	-12.312
6.7	-12.4028	-12.224
6.8	-12.3127	-12.136
6.9	-12.2228	-12.048
7	-12.133		-11.96
7.1	-12.0433	-11.872
7.2	-11.9537	-11.784
7.3	-11.8642	-11.696
7.4	-11.7749	-11.608
7.5	-11.6857	-11.52
7.6	-11.5968	-11.432
7.7	-11.5082	-11.344
7.8	-11.4199	-11.256
7.9	-11.332		-11.168
8	-11.2445	-11.08
8.1	-11.1575	-10.992
8.2	-11.0711	-10.904
8.3	-10.9854	-10.816
8.4	-10.9004	-10.728
8.5	-10.8161	-10.64
8.6	-10.7328	-10.552
8.7	-10.6506	-10.464
8.8	-10.5697	-10.376
8.9	-10.49		-10.288
9	-10.4118	-10.2
9.1	-10.3351	-10.112
9.2	-10.26		-10.024
9.3	-10.1867	-9.936
9.4	-10.1151	-9.848
9.5	-10.0454	-9.76
9.6	-9.97749	-9.672
9.7	-9.91145	-9.584
9.8	-9.84726	-9.496
9.9	-9.78492	-9.408
10	-9.7243		-9.32
10.1	-9.6657		-9.232
10.2	-9.60877	-9.144
10.3	-9.55366	-9.056
10.4	-9.50029	-8.968
10.5	-9.44865	-8.88
10.6	-9.3987		-8.792
10.7	-9.35036	-8.704
10.8	-9.30399	-8.616
10.9	-9.25906	-8.528
11	-9.2157		-8.44
11.1	-9.17387	-8.352
11.2	-9.13352	-8.264
11.3	-9.09456	-8.176
11.4	-9.0569		-8.088
11.5	-9.02058	-8
11.6	-8.98541	-7.912
11.7	-8.95137	-7.824
