RF	LO		ideal
15.3	-10.1231	-0.1604
15.4	-10.1209	-0.0772
15.5	-10.1187	0.006
15.6	-10.1165	0.0892
15.7	-10.1144	0.1724
15.8	-10.1122	0.2556
15.9	-10.1101	0.3388
16	-10.1079	0.422
16.1	-10.1058	0.5052
16.2	-10.1037	0.5884
16.3	-10.1016	0.6716
16.4	-10.0995	0.7548
16.5	-10.0975	0.838
16.6	-10.0954	0.9212
16.7	-10.0934	1.0044
16.8	-10.0914	1.0876
16.9	-10.0894	1.1708
17	-10.0874	1.254
17.1	-10.0854	1.3372
17.2	-10.0835	1.4204
17.3	-10.0816	1.5036
17.4	-10.0797	1.5868
17.5	-10.0778	1.67
17.6	-10.076		1.7532
17.7	-10.0742	1.8364
17.8	-10.0724	1.9196
17.9	-10.0706	2.0028
18	-10.0689	2.086
18.1	-10.0672	2.1692
18.2	-10.0656	2.2524
18.3	-10.0639	2.3356
18.4	-10.0623	2.4188
18.5	-10.0608	2.502
18.6	-10.0593	2.5852
18.7	-10.0578	2.6684
18.8	-10.0563	2.7516
18.9	-10.0549	2.8348
19	-10.0536	2.918
19.1	-10.0523	3.0012
19.2	-10.051		3.0844
19.3	-10.0498	3.1676
19.4	-10.0486	3.2508
19.5	-10.0474	3.334
19.6	-10.0463	3.4172
19.7	-10.0453	3.5004
19.8	-10.0442	3.5836
19.9	-10.0433	3.6668
20	-10.0423	3.75
